Entity,Code,Year,Annual CO₂ emissions
India,IND,1858,394488
India,IND,1859,636485
India,IND,1860,643115
India,IND,1861,497254
India,IND,1862,550294
India,IND,1863,609965
India,IND,1864,576814
India,IND,1865,566869
India,IND,1866,639800
India,IND,1878,1766908
India,IND,1879,1684382
India,IND,1880,1886773
India,IND,1881,1839333
India,IND,1882,2196293
India,IND,1883,2440906
India,IND,1884,2730012
India,IND,1885,2459401
India,IND,1886,2772061
India,IND,1887,3066015
India,IND,1888,3409552
India,IND,1889,4021827.2
India,IND,1890,4431669
India,IND,1891,4772419
India,IND,1892,5247290
India,IND,1893,5543189
India,IND,1894,5616704
India,IND,1895,7034702
India,IND,1896,7608026
India,IND,1897,8253373
India,IND,1898,9125185
India,IND,1899,10054478
India,IND,1900,11929561
India,IND,1901,13179677
India,IND,1902,14515422
India,IND,1903,14802121
India,IND,1904,16561007
India,IND,1905,16930720
India,IND,1906,19549416
India,IND,1907,21772400
India,IND,1908,24908242
India,IND,1909,24142650
India,IND,1910,23487316
India,IND,1911,24782446
India,IND,1912,28521446
India,IND,1913,31466760
India,IND,1914,31698144
India,IND,1915,33141720
India,IND,1916,33517506
India,IND,1917,35019770
India,IND,1918,39359310
India,IND,1919,42974760
India,IND,1920,34867976
India,IND,1921,37505520
India,IND,1922,36903370
India,IND,1923,37971890
India,IND,1924,40627950
India,IND,1925,40084930
India,IND,1926,39942580
India,IND,1927,41883788
India,IND,1928,40072960
India,IND,1929,41707876
India,IND,1930,42399496
India,IND,1931,38851024
India,IND,1932,36129476
India,IND,1933,35467340
India,IND,1934,39611030
India,IND,1935,41393200
India,IND,1936,40684480
India,IND,1937,45067284
India,IND,1938,50379656
India,IND,1939,49312224
India,IND,1940,52309530
India,IND,1941,53581100
India,IND,1942,53529536
India,IND,1943,46644424
India,IND,1944,47695988
India,IND,1945,52874036
India,IND,1946,52225000
India,IND,1947,53180280
India,IND,1948,53204080
India,IND,1949,56187840
India,IND,1950,61102560
India,IND,1951,64022116
India,IND,1952,67426140
India,IND,1953,68704824
India,IND,1954,72413624
India,IND,1955,78787740
India,IND,1956,81656370
India,IND,1957,91635350
India,IND,1958,95815784
India,IND,1959,101447256
India,IND,1960,111325050
India,IND,1961,120404270
India,IND,1962,132581544
India,IND,1963,142444140
India,IND,1964,139488270
India,IND,1965,153701940
India,IND,1966,159373390
India,IND,1967,159555820
India,IND,1968,174069330
India,IND,1969,177413360
India,IND,1970,181722640
India,IND,1971,191963680
India,IND,1972,203035980
India,IND,1973,209095040
India,IND,1974,215853180
India,IND,1975,234209120
India,IND,1976,244749380
India,IND,1977,258961730
India,IND,1978,263149570
India,IND,1979,276284740
India,IND,1980,291711100
India,IND,1981,314966180
India,IND,1982,325380000
India,IND,1983,352198850
India,IND,1984,361559460
India,IND,1985,397592100
India,IND,1986,426309380
India,IND,1987,455343040
India,IND,1988,491692160
India,IND,1989,540651100
India,IND,1990,577996000
India,IND,1991,615365000
India,IND,1992,655447040
India,IND,1993,677299260
India,IND,1994,714063740
India,IND,1995,760461630
India,IND,1996,823620700
India,IND,1997,858011200
India,IND,1998,875772350
India,IND,1999,960762940
India,IND,2000,986444700
India,IND,2001,1000526700
India,IND,2002,1032139800
India,IND,2003,1067736960
India,IND,2004,1133827600
India,IND,2005,1194592400
India,IND,2006,1292484600
India,IND,2007,1392506000
India,IND,2008,1489437400
India,IND,2009,1612216300
India,IND,2010,1677337200
India,IND,2011,1764712400
India,IND,2012,1925699700
India,IND,2013,1995098100
India,IND,2014,2148343800
India,IND,2015,2234219500
India,IND,2016,2354658000
India,IND,2017,2426606800
India,IND,2018,2593057800
India,IND,2019,2612888000
India,IND,2020,2421552000
India,IND,2021,2674221800
India,IND,2022,2831166200
India,IND,2023,3062324500
