Entity,Code,Year,Annual CO₂ emissions
United States,USA,1800,252815.98
United States,USA,1801,267472
United States,USA,1802,289456
United States,USA,1803,296784
United States,USA,1804,333424
United States,USA,1805,340752
United States,USA,1806,333424
United States,USA,1807,377392
United States,USA,1808,392048
United States,USA,1809,403040
United States,USA,1810,417696
United States,USA,1811,447008
United States,USA,1812,483648
United States,USA,1813,520288
United States,USA,1814,560592
United States,USA,1815,600896
United States,USA,1816,663184
United States,USA,1817,718144
United States,USA,1818,780432
United States,USA,1819,762112
United States,USA,1820,791424
United States,USA,1821,828064
United States,USA,1822,864704
United States,USA,1823,901344
United States,USA,1824,1014928
United States,USA,1825,1135840
United States,USA,1826,1315376
United States,USA,1827,1447280
United States,USA,1828,1593840
United States,USA,1829,1795360
United States,USA,1830,2088480
United States,USA,1831,2264352
United States,USA,1832,3022800
United States,USA,1833,3528432
United States,USA,1834,3381872
United States,USA,1835,4316192
United States,USA,1836,4730224
United States,USA,1837,5305472
United States,USA,1838,5030672
United States,USA,1839,5517984
United States,USA,1840,5873392
United States,USA,1841,6214144
United States,USA,1842,6917632
United States,USA,1843,7764016
United States,USA,1844,9306560
United States,USA,1845,11204512
United States,USA,1846,12710416
United States,USA,1847,15070032
United States,USA,1848,16784784
United States,USA,1849,18221072
United States,USA,1850,19792928
United States,USA,1851,24633072
United States,USA,1852,26791168
United States,USA,1853,30162048
United States,USA,1854,33159198
United States,USA,1855,38160560
United States,USA,1856,40036530
United States,USA,1857,41055120
United States,USA,1858,41648690
United States,USA,1859,45320016
United States,USA,1860,47437810
United States,USA,1861,45679090
United States,USA,1862,47448800
United States,USA,1863,54809776
United States,USA,1864,58656976
United States,USA,1865,58821856
United States,USA,1866,59232224
United States,USA,1867,72865970
United States,USA,1868,82352060
United States,USA,1869,93695810
United States,USA,1870,98620220
United States,USA,1871,103020690
United States,USA,1872,126305410
United States,USA,1873,139506800
United States,USA,1874,134296590
United States,USA,1875,135747540
United States,USA,1876,132820010
United States,USA,1877,147175550
United States,USA,1878,143903600
United States,USA,1879,175468960
United States,USA,1880,198684240
United States,USA,1881,210192900
United States,USA,1882,235393950
United States,USA,1883,253882580
United States,USA,1884,267589570
United States,USA,1885,272162270
United States,USA,1886,287463170
United States,USA,1887,307380830
United States,USA,1888,373875100
United States,USA,1889,335542400
United States,USA,1890,401747300
United States,USA,1891,427424580
United States,USA,1892,450449200
United States,USA,1893,454094850
United States,USA,1894,425050370
United States,USA,1895,479948100
United States,USA,1896,480882460
United States,USA,1897,500287140
United States,USA,1898,545321500
United States,USA,1899,625534000
United States,USA,1900,662738400
United States,USA,1901,721527550
United States,USA,1902,764495740
United States,USA,1903,894406900
United States,USA,1904,882057540
United States,USA,1905,986482400
United States,USA,1906,1035471170
United States,USA,1907,1203861500
United States,USA,1908,1052812860
United States,USA,1909,1165706200
United States,USA,1910,1271582100
United States,USA,1911,1258666600
United States,USA,1912,1343565600
United States,USA,1913,1442542100
United States,USA,1914,1317980300
United States,USA,1915,1367697000
United States,USA,1916,1518980700
United States,USA,1917,1670970600
United States,USA,1918,1747718100
United States,USA,1919,1479158800
United States,USA,1920,1738245800
United States,USA,1921,1423668600
United States,USA,1922,1435758300
United States,USA,1923,1896735900
United States,USA,1924,1698320300
United States,USA,1925,1758185500
United States,USA,1926,1906048500
United States,USA,1927,1862839200
United States,USA,1928,1830965000
United States,USA,1929,1963506200
United States,USA,1930,1744916200
United States,USA,1931,1484959100
United States,USA,1932,1257814100
United States,USA,1933,1348876800
United States,USA,1934,1436238600
United States,USA,1935,1492320900
United States,USA,1936,1713411700
United States,USA,1937,1792609900
United States,USA,1938,1515749900
United States,USA,1939,1670920400
United States,USA,1940,1874985100
United States,USA,1941,2043585000
United States,USA,1942,2198264800
United States,USA,1943,2272059100
United States,USA,1944,2444903700
United States,USA,1945,2359551500
United States,USA,1946,2257493800
United States,USA,1947,2485854500
United States,USA,1948,2582558700
United States,USA,1949,2164862200
United States,USA,1950,2541485300
United States,USA,1951,2618711600
United States,USA,1952,2551219500
United States,USA,1953,2612971300
United States,USA,1954,2489462300
United States,USA,1955,2728512000
United States,USA,1956,2859995000
United States,USA,1957,2835772200
United States,USA,1958,2747107600
United States,USA,1959,2831923200
United States,USA,1960,2897315000
United States,USA,1961,2886872800
United States,USA,1962,2993902000
United States,USA,1963,3126487600
United States,USA,1964,3264313600
United States,USA,1965,3399547000
United States,USA,1966,3571421400
United States,USA,1967,3705461000
United States,USA,1968,3840919600
United States,USA,1969,4035145200
United States,USA,1970,4339686000
United States,USA,1971,4365465000
United States,USA,1972,4573015000
United States,USA,1973,4785434000
United States,USA,1974,4621419000
United States,USA,1975,4478563000
United States,USA,1976,4748111400
United States,USA,1977,4889953300
United States,USA,1978,4941708300
United States,USA,1979,5008955400
United States,USA,1980,4808877600
United States,USA,1981,4686743000
United States,USA,1982,4447602000
United States,USA,1983,4429711000
United States,USA,1984,4662488000
United States,USA,1985,4652938000
United States,USA,1986,4663711000
United States,USA,1987,4826012700
United States,USA,1988,5050858500
United States,USA,1989,5132543500
United States,USA,1990,5120957000
United States,USA,1991,5062956500
United States,USA,1992,5174227500
United States,USA,1993,5272850400
United States,USA,1994,5364279300
United States,USA,1995,5425259500
United States,USA,1996,5612983000
United States,USA,1997,5688142300
United States,USA,1998,5733281000
United States,USA,1999,5803918000
United States,USA,2000,6010135600
United States,USA,2001,5907739600
United States,USA,2002,5946308000
United States,USA,2003,6010145300
United States,USA,2004,6112655000
United States,USA,2005,6132183000
United States,USA,2006,6052686000
United States,USA,2007,6130123000
United States,USA,2008,5915118600
United States,USA,2009,5480725500
United States,USA,2010,5679715300
United States,USA,2011,5546116000
United States,USA,2012,5344086000
United States,USA,2013,5480156700
United States,USA,2014,5528681000
United States,USA,2015,5376473000
United States,USA,2016,5252932000
United States,USA,2017,5212162000
United States,USA,2018,5377797000
United States,USA,2019,5262145000
United States,USA,2020,4714628000
United States,USA,2021,5032213000
United States,USA,2022,5078871000
United States,USA,2023,4911391000
